Frame,pontos-1_x,pontos-1_y,11_x,11_y,21_x,21_y,48_x,48_y,50_x,50_y,1_x,1_y,9_x,9_y,pontos-2_x,pontos-2_y,153_x,153_y,143_x,143_y,116_x,116_y,114_x,114_y,163_x,163_y,155_x,155_y,pontos-3_x,pontos-3_y,77_x,77_y,80_x,80_y,84_x,84_y,87_x,87_y,
5018,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5019,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5020,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5021,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5022,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5023,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5024,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5025,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5026,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
5027,960.0998,412.9823,522.0558,497.0111,1434.887,497.7278,861.5767,445.7675,1100.962,445.9555,560.9388,511.139,1385.601,511.7865,1065.823,-341.6514,2922.896,-1117.555,-821.1179,-1120.494,1344.455,-520.0977,701.1754,-520.6027,3046.881,-1392.576,-876.9622,-1395.657,821.0517,61.85667,257.5125,181.6729,811.8984,182.1082,1172.386,182.3913,1727.682,182.8273,
